country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Montserrat,61,42,36,33,50,90,66,61,43,27,30,27,0,38,14,14,12,20,24
Morocco,"4,958","3,387","3,137","4,128","4,411","4,949","4,513","4,425","5,447","5,013",4399,3656,3336,3605,3710,4586,4229,3077,3721
Mozambique,48,54,36,59,54,78,81,69,66,53,60,94,73,71,107,101,96,100,77
Namibia,54,46,40,40,63,56,57,46,53,60,43,59,57,44,86,87,130,75,98
Nepal,945,"1,137","2,095","2,878","3,158","3,733","3,472","4,093","4,514","7,115",10166,11312,13046,12357,12926,12851,11610,11953,10201
Netherlands,"1,679","1,549",981,"1,303","1,815","1,651","1,368","1,240","1,499","1,321",1085,1091,1142,1195,1309,1319,1056,998,1274
Netherlands Antilles,114,97,59,72,116,100,93,78,97,77,0,0,0,0,0,0,0,0,0
New Caledonia,6,5,,,5,7,5,5,13,6,0,0,0,0,0,0,0,0,0
New Zealand,"1,205","1,117",877,"1,131","1,293","1,100","1,047",893,947,919,803,814,921,796,855,846,798,719,844
Nicaragua,"19,634","10,659","4,094","4,009","3,305","4,145","3,716","3,614","4,137","3,565",3401,3046,3048,2886,3324,3486,3072,3061,3818
Niger,"1,330","1,263",808,62,126,116,97,107,183,96,96,48,37,71,55,119,116,93,201
Nigeria,"8,253","8,105","7,872","9,374","10,597","13,459","12,448","12,475","15,253","13,376",11824,13575,13840,12828,11542,14380,13539,13952,15888
Norway,547,431,320,405,423,481,343,350,407,334,339,276,335,271,310,362,290,284,329
Oman,55,61,76,122,101,155,103,70,74,63,60,74,73,90,85,116,104,110,148
Pakistan,"16,393","13,694","9,415","12,086","14,926","17,418","13,492","19,719","21,555","18,258",15546,14740,13251,18612,18057,19313,17408,15802,13921
Palau,3,10,8,6,8,8,11,6,16,18,7,10,16,12,15,14,13,7,14
Panama,"1,867","1,680","1,164","1,417","1,815","2,418","1,916","1,678","1,806","1,536",1374,1281,1234,1095,1052,1029,889,897,1059
Papua New Guinea,26,26,34,19,44,30,31,15,19,30,20,21,27,18,11,23,18,27,24
Paraguay,401,356,207,328,516,719,545,481,530,467,500,467,448,391,382,434,391,389,452
Peru,"11,062","11,918","9,409","11,794","15,676","21,718","17,699","15,184","16,957","14,247",14064,12609,12564,10606,10148,10940,10115,9878,10049
Philippines,"52,919","51,040","45,250","57,846","60,746","74,606","72,596","54,030","60,029","58,173",57011,57327,54446,49996,56478,53287,49147,47258,45920
Poland,"11,769","12,711","10,510","14,326","15,351","17,051","10,355","8,354","8,754","7,643",6863,6300,6430,5689,5275,5603,4845,4357,4700
Portugal,"1,609","1,313",808,"1,069","1,125","1,409","1,019",772,946,755,821,811,918,892,857,1006,939,889,940
Qatar,125,108,72,125,174,226,138,151,134,148,193,141,191,202,229,272,224,236,287
Romania,"6,628","4,887","3,655","4,571","7,103","7,137","5,802","4,930","4,910","4,003",3882,3748,3773,3246,3376,3554,2953,2448,2616
Russia,"20,313","20,771","13,935","17,410","18,055","13,159","9,426","11,695","8,238","6,718",7944,9969,9753,9079,8799,9297,8918,8621,9822
Rwanda,148,217,109,163,276,502,357,378,952,489,520,592,540,555,732,1357,1394,1620,1509
Saint Kitts-Nevis,463,342,310,299,342,458,347,363,310,339,0,0,0,0,0,0,0,0,0
Saint Lucia,674,583,488,616,832,"1,212",928,946,"1,027",872,785,919,853,844,739,777,777,696,726
Saint Vincent and the Grenadines,559,480,322,400,625,756,567,568,591,576,468,503,529,448,415,422,361,333,403
Samoa,165,157,178,203,173,283,290,227,250,219,267,238,237,239,207,219,194,179,195
Sao Tome and Principe,,,,9,8,6,7,7,11,10,9,12,6,5,6,12,10,9,12
Saudi Arabia,"1,178","1,014",735,906,"1,210","1,542","1,171","1,194","1,418","1,263",1396,1343,1463,1696,1744,2117,2135,2100,2514
Senegal,663,530,522,769,913,"1,367","1,024","1,149","1,524","1,285",1424,1615,1340,1273,1244,1533,1470,1420,1665
Serbia,0,0,0,0,0,0,0,0,0,20,244,704,866,1143,1278,1351,1410,1217,1532
Serbia and Montenegro 2,"6,203","10,387","2,994","3,331","5,202","5,891","3,586","3,255","3,166","2,196",0,0,0,0,0,0,0,0,0
Seychelles,18,20,16,25,16,15,7,16,10,8,15,7,6,7,11,16,10,6,6
Sierra Leone,"1,878","2,246","1,492","1,596","2,731","3,572","1,999","2,795","2,687","2,011",1985,1688,1651,1740,1599,1535,2058,1527,1443
Singapore,"1,100","1,033",582,966,"1,204",997,985,922,832,774,690,712,835,779,781,812,818,801,818
Slovakia,809,725,674,800,965,"1,111",763,653,706,538,594,528,507,460,424,483,388,370,422
Slovenia,142,140,64,88,114,115,87,79,108,74,69,86,62,78,107,119,108,95,119
Solomon Islands,7,7,5,6,3,5,10,7,,6,0,0,0,0,0,0,0,0,0
Somalia,"3,007","4,535","2,444","3,929","5,829","9,462","6,251","10,745","13,390","4,558",4451,5204,3764,5190,6796,6958,7404,7557,3752
South Africa,"4,090","3,861","2,210","3,370","4,536","3,201","2,988","2,723","3,171","2,758",2649,2781,2629,2676,2907,3023,2912,3010,3174
Soviet Union (former),"2,707","2,403","1,072",929,"2,899","6,229","5,090","5,270","5,911","4,978",3687,1296,1264,1136,1022,1042,939,1022,1227
Spain,"1,711","1,361",917,"1,339","1,888","1,971","1,578","1,621","1,769","1,684",1890,1842,2480,2928,3303,3519,3045,2841,3115
Sri Lanka,"1,505","1,529","1,246","1,431","1,894","2,191","1,831","1,935","2,009","2,036",2053,1994,1847,1767,1763,1913,1627,1594,1689
Sudan,"1,650","2,921","1,883","3,211","5,231","5,504","2,930","3,598","3,577","2,397",2628,2471,1945,2442,3580,3159,3515,3658,2949
Suriname,245,247,180,166,300,314,197,218,227,216,196,187,178,158,134,156,136,182,172
Swaziland,18,12,23,15,16,11,13,18,42,22,0,0,0,0,0,0,0,0,0
Sweden,"1,682","1,376",963,"1,270","1,517","1,376","1,145","1,019","1,138","1,097",979,968,1106,954,1066,1144,950,889,1018
Switzerland,"1,298","1,004",632,855,"1,092",983,705,720,798,675,615,635,697,656,640,743,565,570,595
Syria,"3,350","2,557","1,938","2,256","2,831","2,918","2,385","2,641","2,442","2,555",2785,3014,3366,3540,3840,4800,5877,14686,5967
Taiwan,"12,120","9,775","6,917","9,005","9,196","8,086","8,990","9,073","8,038","6,732",6154,5331,5385,4697,4888,5120,4858,5079,5801
Tajikistan,187,181,137,167,207,239,172,231,265,299,382,411,550,516,595,593,652,893,1158
Tanzania,476,577,554,747,829,949,832,838,"2,773","1,850",1427,1516,837,774,799,788,1415,3186,3142
Thailand,"4,245","4,144","3,126","4,318","5,505","11,749","8,751","6,637","10,444","9,384",9962,9459,7583,6197,7502,7039,6311,5556,5551
Togo,487,935,"1,187","2,041","1,523","1,720","1,565","1,661","1,680","1,563",1506,1756,1257,1612,1547,1938,1572,1534,1546
Tonga,327,331,238,327,309,437,438,365,379,343,408,276,348,320,327,283,262,225,256
Trinidad and Tobago,"6,618","5,738","4,138","5,384","6,568","8,854","6,829","5,937","6,256","5,435",5023,5214,4724,3988,3212,3469,3100,2758,3150
Tunisia,438,540,353,457,495,510,417,410,416,418,440,422,445,429,518,518,535,517,510
Turkey,"3,215","3,375","3,029","3,835","4,614","4,941","4,425","4,210","4,958","4,483",4403,4162,4144,3834,4201,4469,4844,5585,5713
Turkmenistan,94,93,84,117,148,248,217,274,290,224,260,223,210,254,226,235,251,286,330
Turks and Caicos Islands,33,31,26,28,34,52,31,35,31,29,33,30,50,40,38,39,35,41,56
U.S. Virgin Islands,6,9,4,13,8,7,3,,3,,0,0,0,0,0,0,0,0,0
Uganda,457,575,455,721,858,"1,372","1,122","1,174","1,364","1,085",1239,1340,1350,1409,1664,1649,1898,2412,2560
